Date,Open,High,Low,Close,Adj Close,Volume
2016-03-23,526.525024,526.525024,520.275024,524.674988,509.38089,4232150
2016-03-28,522.5,526.5,520.825012,523.75,508.482941,5635434
2016-03-29,523.75,529.75,522.125,526.900024,511.541077,3366976
2016-03-30,529,534.950012,526.950012,532.474976,516.953491,3907190
2016-03-31,533.424988,539.450012,532.525024,535.575012,519.963196,10040196
2016-04-01,534.400024,538.200012,528.400024,532.224976,516.710754,2579324
2016-04-04,532.599976,536.400024,532,534.525024,518.943848,3089980
2016-04-05,534.5,538.450012,527.825012,528.724976,513.312805,3331514
2016-04-06,530.5,533.474976,528.375,530.75,515.278748,2147688
2016-04-07,532,532.375,523.525024,527.75,512.366333,1955846
2016-04-08,527.5,531.674988,527.125,529.674988,514.235168,1481398
2016-04-11,530.150024,537.049988,521.424988,535.474976,519.866089,2024810
2016-04-12,534.799988,535.5,529.625,531.5,516.007019,2470740
2016-04-13,536,542.474976,534.75,540.875,525.108704,2487302
2016-04-18,541.75,546,535.799988,543.900024,528.045532,2058534
2016-04-20,545.950012,550,541.775024,548.924988,532.924011,1910676
2016-04-21,547.5,552.575012,544.5,545.575012,529.671753,4095864
2016-04-22,544.75,550.424988,542.599976,546.075012,530.157166,3904660
2016-04-25,550,550,542.25,546.625,530.691162,2780980
2016-04-26,547.5,557.5,546.25,556.924988,540.690918,3526898
2016-04-27,554.924988,562.5,554.5,562.099976,545.714905,2881818
2016-04-28,562.099976,568.349976,555.174988,556.974976,540.739319,4044792
2016-04-29,556.900024,568,553.099976,566.174988,549.671204,2805970
2016-05-02,563.875,565,558,558.825012,542.535461,1931358
2016-05-03,560.950012,567.5,556.575012,559,542.705383,2347648
2016-05-04,558.75,567.25,557.125,563.674988,547.24408,2646164
2016-05-05,564,567.375,561.349976,566.150024,549.646851,2607124
2016-05-06,566,566.125,558.625,559.825012,543.506287,1366576
2016-05-09,560,572.474976,559.5,570.700012,554.06427,3476590
2016-05-10,571.75,573.75,568.049988,572.450012,555.763245,2726500
2016-05-11,567.349976,572.5,564.849976,569.400024,552.802124,3073686
2016-05-12,572,576,566.25,574.549988,557.802124,2110844
2016-05-13,574,574,565,570.450012,553.821594,2522658
2016-05-16,572.5,582.950012,566.275024,581.400024,564.452393,2259384
2016-05-17,582.525024,584.625,575.650024,576.724976,559.913696,2147712
2016-05-18,575.5,575.5,565.75,570.325012,553.700256,2081322
2016-05-19,570.049988,571.349976,566,569.650024,553.044861,1927898
2016-05-20,569.974976,574.25,566.799988,570.450012,553.821594,1008316
2016-05-23,570.974976,574.974976,566.599976,568.375,551.807068,1731766
2016-05-24,569.200012,571.825012,567.775024,569.974976,553.360413,1629734
2016-05-25,573.150024,587.974976,573.150024,586.650024,569.549438,2883674
2016-05-26,588.049988,594.450012,583.125,591.625,574.379333,6852780
2016-05-27,591.625,595,588.349976,593.400024,576.102661,2887592
2016-05-30,593.5,597.5,589.049988,589.875,572.680298,1907266
2016-05-31,592.950012,592.950012,588.700012,590.950012,573.723999,2757820
2016-06-01,591.474976,591.474976,585.5,587.575012,570.447449,2837816
2016-06-02,587.349976,590.299988,585.5,587.474976,570.35022,3955308
2016-06-03,590.049988,592.5,584.525024,585.875,568.796936,2262210
2016-06-06,588,591.200012,585.025024,585.549988,568.481384,2773654
2016-06-07,588.474976,590,583.825012,586.849976,569.743591,2814252
2016-06-08,587.900024,589,580.5,581.299988,564.355286,2371406
2016-06-09,581.25,582.099976,576.25,579.700012,562.801941,2324092
2016-06-10,579.200012,586.349976,578.099976,580.674988,563.748535,3161156
2016-06-13,577.375,582.474976,575.525024,576.450012,559.646667,1661618
2016-06-14,577.5,578.5,572.125,575.924988,559.136963,1914384
2016-06-15,577.5,585.450012,576.599976,584.775024,567.729065,1522912
2016-06-16,583.275024,584.424988,577.674988,581.075012,564.136841,2363884
2016-06-17,583.5,589,582.775024,585,567.947449,1880826
2016-06-20,579.5,589.625,579.400024,586.025024,568.942627,1371382
2016-06-21,587.5,587.724976,580.599976,583.325012,566.321228,1335484
2016-06-22,583,587.5,583,585.75,568.675537,1901920
2016-06-23,584.900024,595.924988,583.75,595.049988,577.704468,1963366
2016-06-24,579.924988,585.950012,573.5,580.950012,564.015503,5586982
2016-06-27,581,584.5,576.525024,579.974976,563.068909,2081894
2016-06-28,580.625,586.549988,575,583.474976,566.466858,2017490
2016-06-29,582.5,584.75,579.849976,584.150024,571.777039,2710334
2016-06-30,585.5,590,581.075012,588.224976,575.765686,8139446
2016-07-01,590,592.5,585.900024,587.25,574.81134,2152438
2016-07-04,589.099976,589.75,585.700012,586.400024,573.97937,3624926
2016-07-05,586.400024,587.150024,581,582.799988,570.455627,1068164
2016-07-07,583.950012,594.375,580.450012,592.825012,580.26825,2416308
2016-07-08,592.549988,592.799988,585.625,587.424988,574.982605,1559434
2016-07-11,593,600.950012,590.525024,599.875,587.168884,2551266
2016-07-12,604.950012,604.950012,597.775024,601.075012,588.343506,3523016
2016-07-13,599.900024,600.974976,596.650024,598.875,586.190125,3343536
2016-07-14,600.5,601.075012,596.099976,600.174988,587.462463,1729834
2016-07-15,601.900024,613,597.549988,611.849976,598.890198,2887108
2016-07-18,612.5,619.25,611.325012,613.724976,600.725525,2219242
2016-07-19,614.5,615.375,606.924988,609.174988,596.271912,1293002
2016-07-20,611.5,619.25,610.875,616.099976,603.050232,2345166
2016-07-21,615.349976,619.950012,611.25,614.299988,601.288391,4556452
2016-07-22,616.674988,617.325012,610.75,615.400024,602.365051,2810136
2016-07-25,616.5,624.724976,613.5,623.474976,610.269043,4936442
2016-07-26,621.200012,622.825012,617.575012,619.400024,606.280334,2832996
2016-07-27,620.5,623.775024,615,618.474976,605.374878,5367368
2016-07-28,619,625.625,617.775024,624.224976,611.003174,5323264
2016-07-29,624,625,617.5,623.099976,609.901978,1697838
2016-08-01,624.5,629.474976,613.825012,621.150024,607.993286,2780432
2016-08-02,623.5,628.224976,620.200012,621.650024,608.482727,2664698
2016-08-03,620.549988,624.974976,615.5,620.224976,607.087891,2366938
2016-08-04,623.299988,623.349976,616.799988,620.5,607.357056,2331440
2016-08-05,623.700012,627.825012,620.875,624.625,611.394714,2892456
2016-08-08,626.450012,627.5,622.275024,624.799988,611.565979,2364388
2016-08-09,626.450012,626.450012,618.849976,623.599976,610.391418,2105428
2016-08-10,622.5,625.474976,609.875,613.450012,600.456421,1809860
2016-08-11,613.400024,617.5,611,614.125,601.117126,1428036
2016-08-12,615.525024,617.5,609.700012,614.349976,601.33728,2320748
2016-08-16,616.5,619.224976,606.900024,613.650024,600.652161,1734284
2016-08-17,616.700012,618.75,613,617.450012,604.371643,2755518
2016-08-18,619,627.450012,617.275024,626.25,612.985291,3055828
2016-08-19,625,625,620.724976,623.549988,610.342468,2055318
2016-08-22,622.525024,627.224976,620.5,625.150024,611.908569,2750646
2016-08-23,625.5,627,623.025024,625.724976,612.471436,2657262
2016-08-24,626.025024,632.099976,623.525024,630.900024,617.536804,2785468
2016-08-25,632,633.400024,627.150024,629.275024,615.946228,4364944
2016-08-26,630,630.950012,626.950012,628.549988,615.236572,1260568
2016-08-29,627.75,627.75,618.099976,619.049988,605.937805,1472092
2016-08-30,622.549988,635.25,621.974976,634.325012,620.889221,4933804
2016-08-31,634.5,647.5,632.75,645.599976,631.925354,5580682
2016-09-01,644,645,637.700012,641.849976,628.254822,2612338
2016-09-02,642.75,644.5,640.575012,642.549988,628.940002,1977594
