Date,Reliance,Kotak Bank,HDFC Bank,Baj Finance,TITAN,L & T,TATA Motors,Britannia,Asian Paint
2016/06/13,485.943726,755.900024,576.450012,750.059998,364.200012,977.43335,444.25,1339.099976,994.900024
2016/06/14,483.541504,752.099976,575.924988,749.190002,367.049988,973.700012,448.399994,1340.574951,986.5
2016/06/15,487.677307,765.549988,584.775024,765.119995,366.850006,1009.200012,452.100006,1341.300049,998.400024
2016/06/16,483.566284,754.450012,581.075012,759.625,371.5,996.133362,454.350006,1343.449951,1006.549988
2016/06/17,482.872833,751.099976,585,753.015015,376.350006,986.833313,464.399994,1319.800049,999.599976
2016/06/20,490.451019,751.950012,586.025024,753.984985,376.600006,1004.700012,482.049988,1311.099976,991.5
2016/06/21,488.915558,746.75,583.325012,760.60498,375.450012,996.533325,484.899994,1282.425049,982.049988
2016/06/22,485.646545,739.349976,585.75,759.905029,379.299988,994.366638,472.700012,1306.849976,985.450012
2016/06/23,485.621796,747.25,595.049988,769.690002,388.149994,999.06665,487.950012,1312.724976,984.099976
2016/06/24,471.257935,733.900024,580.950012,758.809998,390.450012,953.733337,449.399994,1316.474976,989.549988
2016/06/27,473.338226,739.400024,579.974976,769.559998,391.5,977.833313,448.950012,1341.650024,974.299988
2016/06/28,474.403137,743.299988,583.474976,769.664978,389.899994,982.700012,440.399994,1374.074951,980.200012
2016/06/29,478.9104,752.799988,584.150024,768.580017,396.5,988.799988,447.25,1385.699951,994.200012
2016/06/30,480.024841,763.349976,588.224976,799.669983,406.25,997.666687,459.25,1379.474976,1003.299988
2016/07/01,482.154663,753.400024,587.25,816.719971,405.850006,1028.43335,457.899994,1404.150024,1002.5
2016/07/04,488.717438,743.950012,586.400024,820.434998,405.25,1045.400024,469.5,1420.449951,1000.400024
2016/07/05,491.88739,740.400024,582.799988,817,401.899994,1050.733276,460.899994,1418.125,985.099976
2016/07/07,489.311798,745.900024,592.825012,809.565002,402.850006,1036.333374,455.149994,1404.574951,987.700012
2016/07/08,484.606415,743.450012,587.424988,820.780029,401.450012,1021.766663,466.299988,1402.525024,1010.700012
2016/07/11,491.59021,760.549988,599.875,856.75,402.649994,1039.866699,484.600006,1429.625,1026.800049
2016/07/12,496.989044,763.650024,601.075012,862.715027,406.049988,1045.333374,484.299988,1428.599976,1020.450012
2016/07/13,499.638916,775,598.875,857.530029,404.799988,1034.266724,481.100006,1433.800049,1009.5
2016/07/14,497.731995,780.200012,600.174988,867.015015,414.899994,1042.966675,486.100006,1429.875,1017.599976
2016/07/15,501.347717,772.150024,611.849976,870.005005,417.75,1057.233276,494,1410.300049,1025.900024
2016/07/18,498.400665,776.799988,613.724976,880.070007,413.799988,1049.599976,492.649994,1408.150024,1028.5
2016/07/19,504.121429,777.799988,609.174988,864.304993,413.25,1048.533325,499.25,1380.025024,1030.699951
2016/07/20,506.697021,782.200012,616.099976,864.01001,412.100006,1047.233276,493.899994,1404.724976,1028.550049
2016/07/21,498.450195,760.650024,614.299988,870.784973,409.200012,1038.366699,491.049988,1407.375,1042.699951
2016/07/22,502.660278,760.049988,615.400024,883.780029,409.700012,1049.333374,507.200012,1425.449951,1047.050049
2016/07/25,506.573181,764.400024,623.474976,898.36499,412.75,1057.266724,509,1425.199951,1070.650024
2016/07/26,507.217102,751.700012,619.400024,984.835022,414,1061.800049,503.25,1411.900024,1060.75
2016/07/27,501.793488,754,618.474976,979.344971,411.700012,1068.099976,510.100006,1406.400024,1061.800049
2016/07/28,508.356293,750.349976,624.224976,1031.680054,426.600006,1051.5,506.850006,1432.650024,1128
2016/07/29,502.685059,763.5,623.099976,1037.265015,421.399994,1039.233276,503.200012,1466.900024,1114.150024
2016/08/01,500.010406,753.150024,621.150024,1122.625,422.299988,995.799988,508.25,1441.099976,1120.900024
2016/08/02,501.644897,760.099976,621.650024,1094.410034,423.450012,1002.233337,493.299988,1440.349976,1123.349976
2016/08/03,492.308411,756.200012,620.224976,1000.559998,414.75,985.733337,478.399994,1415.224976,1143.400024
2016/08/04,491.83786,756.400024,620.5,996.969971,408.200012,979.43335,500,1440.425049,1127.300049
2016/08/05,503.353699,774.349976,624.625,1009.469971,416.450012,1008.133362,516.400024,1442.300049,1143.349976
2016/08/08,509.792664,771.5,624.799988,1003.434998,419.700012,1004.766663,514.799988,1576.074951,1148.349976
2016/08/09,510.510864,764.75,623.599976,1017.97998,420.100006,1000.633362,513.799988,1564.224976,1146.5
2016/08/10,497.112854,761.25,613.450012,999.830017,403.950012,988.799988,503.450012,1551.675049,1129.949951
2016/08/11,502.288818,764.650024,614.125,1000.72998,400.350006,983.133362,503.25,1618.449951,1145.099976
2016/08/12,513.036926,762.900024,614.349976,1015.440002,401.950012,994.599976,516.799988,1642.550049,1137.5
2016/08/16,507.638092,772.799988,613.650024,1020.359985,404.549988,1004.233337,507.600006,1636.025024,1129.650024
2016/08/17,501.892548,765.650024,617.450012,1020.880005,404.649994,1001.666687,510.399994,1668.349976,1113.550049
2016/08/18,504.24527,784.400024,626.25,1013.455017,398.149994,988.06665,512.049988,1664.775024,1107.349976
2016/08/19,502.685059,778.75,623.549988,1018.309998,402,996.233337,510,1675.224976,1113.5
2016/08/22,501.174377,772.849976,625.150024,1016.61499,402.950012,995.099976,503.950012,1684.625,1113.900024
2016/08/23,500.480927,778.349976,625.724976,1004.065002,406.75,984.766663,504,1680.675049,1126.25
2016/08/24,505.458771,777,630.900024,1005.359985,404.149994,982.333313,498.350006,1716.474976,1118.849976
2016/08/25,501.595367,780.75,629.275024,1028.964966,395.100006,969.766663,493.850006,1732.150024,1105.900024
2016/08/26,509.124023,780.799988,628.549988,1048.089966,405.75,951.466675,503.75,1718.849976,1123.300049
2016/08/29,523.760254,781.400024,619.049988,1074.359985,403.200012,973,525.299988,1703.175049,1111.849976
2016/08/30,528.193237,786.150024,634.325012,1077.73999,407.600006,983.766663,529,1721.599976,1146.199951
2016/08/31,525.023315,806.900024,645.599976,1101.109985,418.5,1008.633362,537.700012,1730.275024,1157.900024
2016/09/01,509.767914,810.700012,641.849976,1116.084961,413.5,1004.733337,543.650024,1704.675049,1156.949951
2016/09/02,501.917328,813.599976,642.549988,1113.97998,418.350006,1003.366638,549.849976,1677.474976,1167.550049
2016/09/06,505.16156,818.049988,650.200012,1126.584961,437.450012,1010.93335,588.700012,1728.550049,1204.150024
2016/09/07,504.04715,804.099976,643.375,1139.329956,425.299988,1012.166687,587.400024,1744.474976,1177.199951
2016/09/08,511.848175,819.75,644.700012,1162.800049,432.850006,1026.333374,584.200012,1736.050049,1182.599976
2016/09/09,517.37085,818.849976,645.200012,1153.550049,423.950012,1011.799988,573.25,1727.525024,1171.75
2016/09/12,518.33667,813.299988,639.950012,1094.400024,411.299988,975.466675,553.450012,1713.974976,1154.599976
2016/09/14,517.46991,805.950012,634.724976,1101.050049,414.549988,983.533325,560.5,1769.949951,1163.599976
2016/09/15,527.499817,808.599976,639.799988,1099,406.399994,980.166687,557.549988,1765.800049,1173.550049
2016/09/16,532.725281,806.599976,648.924988,1087.849976,407.600006,982.133362,548.700012,1737.75,1155.150024
2016/09/19,536.118164,802.849976,645.075012,1075.900024,402.850006,986.533325,554.450012,1705.800049,1163.599976
2016/09/20,532.056641,792.75,644.224976,1075.050049,402.850006,983.966675,548.450012,1705.25,1165.050049
2016/09/21,531.09082,788.400024,646.5,1070.25,406.450012,981.400024,549.900024,1699.050049,1170.599976
2016/09/22,539.362366,795.150024,653.450012,1127.949951,414.399994,999.966675,558.450012,1700.474976,1192
